source_table,source_column,mapped_column,dimension,datatype
dim_customer,customer_key,customer_key,customer,"VARCHAR(100)"
dim_customer,customer_level_1,customer_level_1,customer,"VARCHAR(100)"
dim_customer,customer_level_2,customer_level_2,customer,"VARCHAR(100)"
dim_customer,customer_name,customer_name,customer,"VARCHAR(100)"
dim_customer,master_customer_name,master_customer_name,customer,"VARCHAR(100)"
dim_customer,business_type,business_type,customer,"VARCHAR(50)"
dim_customer,company_size,company_size,customer,"VARCHAR(50)"
dim_customer,sic_section,sic_section,customer,"VARCHAR(50)"
dim_product,product_key,product_key,product,"VARCHAR(100)"
dim_product,product_level_1,product_level_1,product,"VARCHAR(100)"
dim_product,product_level_2,product_level_2,product,"VARCHAR(100)"
dim_entity,entity_key,entity_key,entity,"VARCHAR(100)"
dim_entity,entity_name,entity_name,entity,"VARCHAR(100)"
dim_entity,acquisition_date,acquisition_date,NULL,"DATE"
dim_entity,customer_region,customer_region,entity,"VARCHAR(50)"
dim_entity,currency,currency,entity,"VARCHAR(50)"
dim_entity,entity_scaling_factor,entity_scaling_factor,NULL,"VARCHAR(50)"
dim_other,other_key,other_key,other,"VARCHAR(50)"
dim_other,other_dim_1,other_dim_1,other,"VARCHAR(50)"
dim_other,other_dim_2,other_dim_2,other,"VARCHAR(50)"
dim_calendar,month_roll,month_roll,calendar,"DATE"
dim_calendar,year,year,calendar,"VARCHAR(50)"
dim_calendar,month_no,month_no,other,"VARCHAR(50)"
dim_calendar,month_name,month_name,calendar,"VARCHAR(50)"
dim_calendar,quarter,quarter,calendar,"VARCHAR(50)"
dim_calendar,qq_yyyy,qq_yyyy,calendar,"VARCHAR(50)"
fact_revenue,revenue_key,revenue_key,NULL,"VARCHAR(100)"
fact_revenue,customer_key,customer_key,NULL,"VARCHAR(100)"
fact_revenue,product_key,product_key,NULL,"VARCHAR(100)"
fact_revenue,entity_key,entity_key,NULL,"VARCHAR(100)"
fact_revenue,other_key,other_key,NULL,"VARCHAR(100)"
fact_revenue,month,month,NULL,"DATE"
fact_revenue,revenue,revenue,NULL,"DECIMAL(18,2)"
fact_revenue,volume,volume,NULL,"DECIMAL(18,2)"
fact_revenue,revenue_type,revenue_type,NULL,"VARCHAR(50)"






